scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Paullinia,Paullinia austin-smithii,9.9722223,-83.4527778,extant,10/19/00,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia trisulca,9.9722223,-83.4527778,extant,1/15/01,MO,"INB, MO","INB, MO","INB, MO",NA,280,1,NA,
Paullinia,Paullinia austin-smithii,9.97222,-83.45277,extant,2/16/01,MO,"INB, MO","INB, MO","INB, MO",NA,280,1,NA,
Paullinia,Paullinia austin-smithii,9.97,-83.45,extant,2/16/01,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia pterocarpa,9.97,-83.45,extant,1/15/01,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia costata,8.73,-83.45,extant,NA,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia ingaefolia,9.830556,-83.444445,extant,9/29/93,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia capreolata,9.830558,-83.444435,extant,9/16/92,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia fournieri,8.655556,-83.441667,extant,8/29/95,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia costata,8.73,-83.44,extant,11/15/91,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia faginea,9.83,-83.44,extant,9/16/92,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
Paullinia,Paullinia cururu,8.96,-83.44,extant,5/20/76,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia pterocarpa,8.96,-83.44,extant,5/20/76,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia faginea,9.83,-83.44,extant,9/16/92,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia ingaefolia,9.83,-83.44,extant,9/29/93,MO,"CR, MO","CR, MO","CR, MO",NA,280,1,NA,
