scrubbed_genus,scrubbed_species_binomial,latitude,longitude,extant_of_fossil,date_collected,datasource,dataset,dataowner,custodial_institution_codes,collection_code,datasource_id,is_new_world,on map coded,gbifID(OnlyRecordedForC.pechuelii)
Paullinia,Paullinia pterocarpa,10.493611,-83.647778,extant,1/21/97,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pterocarpa,10.493611,-83.647778,extant,1/21/97,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pterocarpa,10.493611,-83.647778,extant,1/21/97,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,10.0222223,-83.6472222,extant,4/1/01,MO,MO,MO,MO,NA,280,1,NA,
Paullinia,Paullinia bracteosa,10.022222,-83.647222,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,10.022222,-83.647222,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,10.022222,-83.647222,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia bracteosa,10.022222,-83.647222,extant,4/1/01,GBIF,INBio,INBio,INBio,Plantae,2454,1,NA,
Paullinia,Paullinia pterocarpa,10.49,-83.64,extant,1/21/97,MO,"INB, MO","INB, MO","INB, MO",NA,280,1,NA,
Paullinia,Paullinia pterocarpa,10.49,-83.64,extant,1/21/97,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia pinnata,10.8,-83.63,extant,9/21/86,GBIF,Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Museo Nacional de Costa Rica (MNCR),Herbario Nacional de Costa Rica (CR),1762,1,NA,
Paullinia,Paullinia serjaniifolia,10.68,-83.63,extant,3/16/87,MO,MO,MO,MO,NA,280,1,NA,
